item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,google/gemma-3-27b-it,image-to-text,10464.602708816528,119,11.371669169985914,1334,10494.957447052002
img_2,google/gemma-3-27b-it,image-to-text,2407.9155921936035,115,47.759149188130536,1334,2485.320568084717
img_3,google/gemma-3-27b-it,image-to-text,2609.919548034668,125,47.89419662155027,1334,2613.438367843628
img_4,google/gemma-3-27b-it,image-to-text,2657.890558242798,128,48.15849155377722,1334,2661.327838897705
img_5,google/gemma-3-27b-it,image-to-text,2577.617883682251,124,48.10643221595749,1334,2581.1095237731934
img_6,google/gemma-3-27b-it,image-to-text,2706.1986923217773,130,48.03786224893442,1334,2709.7153663635254
img_7,google/gemma-3-27b-it,image-to-text,2491.541862487793,118,47.360231741070386,1334,2495.206832885742
img_8,google/gemma-3-27b-it,image-to-text,2749.8018741607666,132,48.003458445632965,1334,2753.1983852386475
img_9,google/gemma-3-27b-it,image-to-text,2523.176908493042,121,47.95541667835998,1334,2526.4735221862793
img_10,google/gemma-3-27b-it,image-to-text,2442.0270919799805,117,47.91101637825694,1334,2445.848226547241
img_1,google/gemma-3-27b-it,image-to-text,2517.791748046875,121,48.057985770214415,1334,2521.2833881378174
img_2,google/gemma-3-27b-it,image-to-text,2846.6362953186035,138,48.47826897554352,1334,2850.2066135406494
img_3,google/gemma-3-27b-it,image-to-text,2364.3798828125,113,47.79265837162476,1334,2367.978811264038
img_4,google/gemma-3-27b-it,image-to-text,2598.9773273468018,125,48.095840885079134,1334,2602.3707389831543
img_5,google/gemma-3-27b-it,image-to-text,2446.4075565338135,117,47.82522833839312,1334,2450.270891189575
img_6,google/gemma-3-27b-it,image-to-text,2515.9525871276855,120,47.69565237991902,1334,2519.3116664886475
img_7,google/gemma-3-27b-it,image-to-text,2330.355167388916,111,47.63222428638281,1334,2333.57834815979
img_8,google/gemma-3-27b-it,image-to-text,2829.2558193206787,136,48.06917743926543,1334,2833.5657119750977
img_9,google/gemma-3-27b-it,image-to-text,2640.6030654907227,127,48.09507406081825,1334,2644.02437210083
img_10,google/gemma-3-27b-it,image-to-text,2837.1636867523193,137,48.28766159657954,1334,2840.292453765869
