item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms,error_message
img_1,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1881.5193176269531,51,27.10575412232452,1810,1884.4904899597168,
img_2,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1442.7661895751953,1,0.6931129986449417,3346,1444.9436664581299,Empty response from model
img_3,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1810.8437061309814,121,66.81968167121755,1298,1813.3156299591064,
img_4,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1432.298183441162,64,44.68343305877625,1810,1435.2266788482666,
img_5,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2664.686679840088,250,93.81966063454894,274,2667.2723293304443,
img_6,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2166.9509410858154,70,32.303453978946294,3346,2169.5945262908936,
img_7,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1453.0267715454102,1,0.6882185652618225,3346,1454.8566341400146,Empty response from model
img_8,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2287.170648574829,81,35.41493506419048,3346,2290.527582168579,
img_9,OpenGVLab/InternVL3-14B-Instruct,image-to-text,3330.169916152954,250,75.07124449938054,1810,3333.3733081817627,
img_10,OpenGVLab/InternVL3-14B-Instruct,image-to-text,998.3668327331543,86,86.14068214241875,274,1001.4400482177734,
img_1,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2687.943458557129,119,44.27176457940765,3346,2690.716505050659,
img_2,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1429.2268753051758,1,0.6996789783892602,3346,1430.5784702301025,Empty response from model
img_3,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1308.2342147827148,52,39.74823423238224,1810,1311.3410472869873,
img_4,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1950.913429260254,115,58.94674682905106,1810,1953.5913467407227,
img_5,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2386.53564453125,93,38.968619728395694,3346,2389.9965286254883,
img_6,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2385.4784965515137,91,38.147482834806965,3346,2388.18359375,
img_7,OpenGVLab/InternVL3-14B-Instruct,image-to-text,3988.6112213134766,250,62.678457770991606,3346,3991.5363788604736,
img_8,OpenGVLab/InternVL3-14B-Instruct,image-to-text,2305.330276489258,83,36.003517954225224,3346,2309.514045715332,
img_9,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1919.905662536621,48,25.001228412744695,3346,1923.2993125915527,
img_10,OpenGVLab/InternVL3-14B-Instruct,image-to-text,1660.4888439178467,84,50.58751241098729,1810,1663.6784076690674,
