item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,OpenGVLab/InternVL3-38B,image-to-text,3628.5643577575684,95,26.181153380095882,1810,3632.5371265411377
img_2,OpenGVLab/InternVL3-38B,image-to-text,4479.605436325073,121,27.011307518026538,3346,4482.712745666504
img_3,OpenGVLab/InternVL3-38B,image-to-text,3800.8923530578613,154,40.51680123908409,1298,3804.171085357666
img_4,OpenGVLab/InternVL3-38B,image-to-text,2745.7399368286133,82,29.864445244844166,1810,2748.6767768859863
img_5,OpenGVLab/InternVL3-38B,image-to-text,2252.692461013794,108,47.94262948409569,274,2255.138158798218
img_6,OpenGVLab/InternVL3-38B,image-to-text,4820.809602737427,137,28.418463139927066,3346,4824.009418487549
img_7,OpenGVLab/InternVL3-38B,image-to-text,6333.547592163086,216,34.10410940422568,3346,6336.5538120269775
img_8,OpenGVLab/InternVL3-38B,image-to-text,5218.93048286438,159,30.46601224562274,3346,5221.961259841919
img_9,OpenGVLab/InternVL3-38B,image-to-text,2971.5425968170166,94,31.633401486718917,1810,2974.525213241577
img_10,OpenGVLab/InternVL3-38B,image-to-text,1641.1991119384766,76,46.30760487692063,274,1644.1736221313477
img_1,OpenGVLab/InternVL3-38B,image-to-text,6027.959585189819,202,33.51051000678517,3346,6031.202077865601
img_2,OpenGVLab/InternVL3-38B,image-to-text,5775.90799331665,187,32.37586197986173,3346,5778.815507888794
img_3,OpenGVLab/InternVL3-38B,image-to-text,4096.113204956055,153,37.35248327972944,1810,4099.320888519287
img_4,OpenGVLab/InternVL3-38B,image-to-text,2994.760036468506,95,31.722074170599097,1810,2997.9476928710938
img_5,OpenGVLab/InternVL3-38B,image-to-text,3696.2430477142334,80,21.64359836928803,3346,3699.8305320739746
img_6,OpenGVLab/InternVL3-38B,image-to-text,4551.3951778411865,122,26.80496753917706,3346,4554.155349731445
img_7,OpenGVLab/InternVL3-38B,image-to-text,4759.116649627686,134,28.156485723140044,3346,4762.104034423828
img_8,OpenGVLab/InternVL3-38B,image-to-text,5278.812646865845,160,30.3098463051148,3346,5282.882452011108
img_9,OpenGVLab/InternVL3-38B,image-to-text,6573.334455490112,228,34.68559245598286,3346,6576.429128646851
img_10,OpenGVLab/InternVL3-38B,image-to-text,3276.491165161133,109,33.267295562702834,1810,3279.1707515716553
