item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,llava-hf/llava-1.5-7b-hf,image-to-text,7702.419281005859,77,9.99685906347396,598,7705.404996871948
img_2,llava-hf/llava-1.5-7b-hf,image-to-text,161.7453098297119,9,55.643035396051644,598,164.59989547729492
img_3,llava-hf/llava-1.5-7b-hf,image-to-text,947.7884769439697,109,115.0045634142519,598,950.2673149108887
img_4,llava-hf/llava-1.5-7b-hf,image-to-text,723.9415645599365,83,114.65013761221645,598,726.747989654541
img_5,llava-hf/llava-1.5-7b-hf,image-to-text,764.8675441741943,88,115.05260050615834,598,767.662525177002
img_6,llava-hf/llava-1.5-7b-hf,image-to-text,944.2989826202393,108,114.37055634680637,598,946.8607902526855
img_7,llava-hf/llava-1.5-7b-hf,image-to-text,251.80959701538086,22,87.36759941145615,598,254.49657440185547
img_8,llava-hf/llava-1.5-7b-hf,image-to-text,1077.3751735687256,124,115.09453999135619,598,1079.8437595367432
img_9,llava-hf/llava-1.5-7b-hf,image-to-text,806.5783977508545,93,115.30187302230098,598,809.0763092041016
img_10,llava-hf/llava-1.5-7b-hf,image-to-text,437.3431205749512,48,109.75364134434541,598,439.892053604126
img_1,llava-hf/llava-1.5-7b-hf,image-to-text,124.37963485717773,9,72.35911256963001,598,126.99651718139648
img_2,llava-hf/llava-1.5-7b-hf,image-to-text,717.7965641021729,82,114.2384961156319,598,720.9227085113525
img_3,llava-hf/llava-1.5-7b-hf,image-to-text,1127.528190612793,132,117.07024365240942,598,1130.6872367858887
img_4,llava-hf/llava-1.5-7b-hf,image-to-text,872.004508972168,101,115.8250891604319,598,874.5360374450684
img_5,llava-hf/llava-1.5-7b-hf,image-to-text,590.0733470916748,66,111.85050184913051,598,593.5163497924805
img_6,llava-hf/llava-1.5-7b-hf,image-to-text,993.0069446563721,114,114.80282249128626,598,996.1838722229004
img_7,llava-hf/llava-1.5-7b-hf,image-to-text,842.5753116607666,98,116.31007773873188,598,845.0629711151123
img_8,llava-hf/llava-1.5-7b-hf,image-to-text,491.3630485534668,52,105.82806369563973,598,494.1754341125488
img_9,llava-hf/llava-1.5-7b-hf,image-to-text,602.3542881011963,68,112.89037256521682,598,606.4474582672119
img_10,llava-hf/llava-1.5-7b-hf,image-to-text,887.4785900115967,102,114.93235008482533,598,889.9176120758057
