item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,7722.295761108398,116,15.021439684323909,1535,7738.474130630493
img_2,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1759.4904899597168,118,67.06486944564365,1427,1763.5867595672607
img_3,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,2357.0892810821533,157,66.60757454546669,2042,2360.318183898926
img_4,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1737.8106117248535,117,67.32609365520696,1339,1740.5970096588135
img_5,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1981.5318584442139,135,68.12910901467632,1362,1984.7996234893799
img_6,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1651.2067317962646,105,63.589857028850524,1922,1654.3214321136475
img_7,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1813.5333061218262,115,63.412124614310635,2112,1817.4293041229248
img_8,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1945.7955360412598,125,64.24107655952061,2112,1949.378252029419
img_9,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1638.0722522735596,108,65.93115770693362,1490,1641.5629386901855
img_10,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1908.2939624786377,130,68.1236762029819,1334,1911.4947319030762
img_1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1805.8199882507324,122,67.55933636451735,1392,1809.3254566192627
img_2,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1811.9332790374756,120,66.22760417742627,1528,1815.53316116333
img_3,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1949.5058059692383,128,65.65766544940453,1509,1953.0751705169678
img_4,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1765.8710479736328,119,67.38883914346664,1412,1769.4687843322754
img_5,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1805.6912422180176,119,65.90273974737042,1528,1809.6299171447754
img_6,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1973.428726196289,127,64.35499712461763,2112,1977.0631790161133
img_7,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1681.302547454834,114,67.80457221847067,1286,1684.5180988311768
img_8,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,2009.6256732940674,129,64.19105891922167,2112,2012.9303932189941
img_9,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1638.9861106872559,108,65.89439611218774,1514,1642.2147750854492
img_10,mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-to-text,1897.916555404663,125,65.86169431108009,1813,1901.5617370605469
