item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,11417.73796081543,150,13.137453365525245,1362,11429.657697677612
img_2,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3592.9110050201416,177,49.2636749846265,1242,3597.0468521118164
img_3,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3405.3168296813965,160,46.98534908863963,1856,3408.7414741516113
img_4,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2925.987720489502,143,48.87238555330536,1172,2929.144859313965
img_5,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3064.2664432525635,150,48.951356801983124,1183,3067.235231399536
img_6,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2764.2836570739746,129,46.66670139653756,1711,2767.8937911987305
img_7,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3270.061492919922,153,46.78811096710673,1902,3273.704767227173
img_8,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3491.2502765655518,165,47.26100592316042,1902,3494.755983352661
img_9,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3080.0352096557617,147,47.726727129339984,1318,3083.3353996276855
img_10,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2944.1757202148438,144,48.91012415165626,1151,2947.999954223633
img_1,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3303.8370609283447,162,49.033895138424185,1222,3307.267189025879
img_2,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3181.183099746704,154,48.4096624341623,1336,3183.9394569396973
img_3,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2832.6144218444824,136,48.01218229745592,1318,2837.05997467041
img_4,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2496.375322341919,120,48.06969485959534,1228,2499.544620513916
img_5,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3205.6636810302734,155,48.351921917830225,1354,3209.261178970337
img_6,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3806.344509124756,179,47.02674694077018,1902,3809.109926223755
img_7,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2743.2022094726562,133,48.483483842617446,1114,2746.2990283966064
img_8,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2966.2373065948486,135,45.51220487310773,1870,2970.3762531280518
img_9,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,2671.3480949401855,128,47.91588196328493,1310,2674.7658252716064
img_10,Qwen/Qwen2.5-VL-32B-Instruct,image-to-text,3573.974847793579,172,48.1256884351566,1588,3577.1706104278564
